Path,Format,Options,Dataset,Unicost,Best known solution value,Best known bound
pace2025_ds/heuristic_private/039.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,279660,0
pace2025_ds/heuristic_private/040.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,752000,0
pace2025_ds/heuristic_private/041.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1041,0
pace2025_ds/heuristic_private/042.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,327342,0
pace2025_ds/heuristic_private/043.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,2249,0
pace2025_ds/heuristic_private/044.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,337140,0
pace2025_ds/heuristic_private/045.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,646200,0
pace2025_ds/heuristic_private/046.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,44386,0
pace2025_ds/heuristic_private/047.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,908,0
pace2025_ds/heuristic_private/048.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1012,0
pace2025_ds/heuristic_private/049.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,461054,0
pace2025_ds/heuristic_private/050.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,637020,0
pace2025_ds/heuristic_private/051.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,381694,0
pace2025_ds/heuristic_private/052.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,120132,0
pace2025_ds/heuristic_private/053.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,351953,0
pace2025_ds/heuristic_private/054.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1004041,0
pace2025_ds/heuristic_private/055.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,853,0
pace2025_ds/heuristic_private/056.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,145788,0
pace2025_ds/heuristic_private/057.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,206981,0
pace2025_ds/heuristic_private/058.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,3118,0
pace2025_ds/heuristic_private/059.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,2128,0
pace2025_ds/heuristic_private/060.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,438411,0
pace2025_ds/heuristic_private/061.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,995,0
pace2025_ds/heuristic_private/062.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,161380,0
pace2025_ds/heuristic_private/063.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,3005,0
pace2025_ds/heuristic_private/064.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,878,0
pace2025_ds/heuristic_private/065.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,380882,0
pace2025_ds/heuristic_private/066.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,375715,0
pace2025_ds/heuristic_private/067.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,422496,0
pace2025_ds/heuristic_private/068.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,498772,0
pace2025_ds/heuristic_private/069.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,167182,0
pace2025_ds/heuristic_private/070.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,889,0
pace2025_ds/heuristic_private/071.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,272842,0
pace2025_ds/heuristic_private/072.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,215438,0
pace2025_ds/heuristic_private/073.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,196984,0
pace2025_ds/heuristic_private/074.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1913,0
pace2025_ds/heuristic_private/075.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,621561,0
pace2025_ds/heuristic_private/076.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,477342,0
pace2025_ds/heuristic_private/077.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,193861,0
pace2025_ds/heuristic_private/078.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,113361,0
pace2025_ds/heuristic_private/079.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,153466,0
pace2025_ds/heuristic_private/080.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,879,0
pace2025_ds/heuristic_private/081.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1314,0
pace2025_ds/heuristic_private/082.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,113228,0
pace2025_ds/heuristic_private/083.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,593413,0
pace2025_ds/heuristic_private/084.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,735143,0
pace2025_ds/heuristic_private/085.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,398272,0
pace2025_ds/heuristic_private/086.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,63209,0
pace2025_ds/heuristic_private/087.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1180,0
pace2025_ds/heuristic_private/088.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,801258,0
pace2025_ds/heuristic_private/089.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,214747,0
pace2025_ds/heuristic_private/090.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,353706,0
pace2025_ds/heuristic_private/091.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,161974,0
pace2025_ds/heuristic_private/092.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,66087,0
pace2025_ds/heuristic_private/093.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1786,0
pace2025_ds/heuristic_private/094.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,2065,0
pace2025_ds/heuristic_private/095.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1203,0
pace2025_ds/heuristic_private/096.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,63655,0
pace2025_ds/heuristic_private/097.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1113,0
pace2025_ds/heuristic_private/098.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1710,0
pace2025_ds/heuristic_private/099.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,194990,0
pace2025_ds/heuristic_private/100.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,496783,0
