Path,Format,Options,Dataset,Unicost,Best known solution value,Best known bound,Number of elements,Number of sets,Number of arcs,Average number of sets covering an element,Average number of elements covered by a set,Total cost,Number of connected components,Average number of set neighbors estimate,Average number of elt. neighbors estimate
pace2025_ds/heuristic/heuristic_014.gr,pace2025_ds,,pace2025_ds_heuristic,1,113870,,359510,359510,1291022,3.59106,3.59106,359510,2510,10.1752,10.1752
pace2025_ds/heuristic/heuristic_015.gr,pace2025_ds,,pace2025_ds_heuristic,1,2922,,2068567,2068567,14462353,6.99148,6.99148,2068567,1,11337.5,11337.5
pace2025_ds/heuristic/heuristic_016.gr,pace2025_ds,,pace2025_ds_heuristic,1,2932,,3535701,3535701,24732291,6.99502,6.99502,3535701,1,19425.4,19425.4
pace2025_ds/heuristic/heuristic_017.gr,pace2025_ds,,pace2025_ds_heuristic,1,2935,,3471107,3471107,24280115,6.99492,6.99492,3471107,1,19119.6,19119.6
pace2025_ds/heuristic/heuristic_018.gr,pace2025_ds,,pace2025_ds_heuristic,1,150414,,468356,468356,1659568,3.54339,3.54339,468356,1394,9.9115,9.9115
pace2025_ds/heuristic/heuristic_019.gr,pace2025_ds,,pace2025_ds_heuristic,1,2827,,3356677,3356677,23479753,6.99494,6.99494,3356677,1,19095.7,19095.7
pace2025_ds/heuristic/heuristic_020.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196693,1196693,5993863,5.00869,5.00869,1196693,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_021.gr,pace2025_ds,,pace2025_ds_heuristic,1,149603,,462323,462323,1654487,3.57864,3.57864,462323,3651,10.3107,10.3107
pace2025_ds/heuristic/heuristic_022.gr,pace2025_ds,,pace2025_ds_heuristic,1,81848,,255237,255237,917165,3.59339,3.59339,255237,1894,10.3614,10.3614
pace2025_ds/heuristic/heuristic_023.gr,pace2025_ds,,pace2025_ds_heuristic,1,1001,,1016001,1016001,5081003,5.00098,5.00098,1016001,1,2043.32,2043.32
pace2025_ds/heuristic/heuristic_024.gr,pace2025_ds,,pace2025_ds_heuristic,1,205189,,612408,612408,2120834,3.46311,3.46311,612408,7305,9.57939,9.57939
pace2025_ds/heuristic/heuristic_025.gr,pace2025_ds,,pace2025_ds_heuristic,1,102259,,325882,325882,1175344,3.60666,3.60666,325882,1213,10.2861,10.2861
pace2025_ds/heuristic/heuristic_026.gr,pace2025_ds,,pace2025_ds_heuristic,1,2899,,2021860,2021860,14135548,6.99136,6.99136,2021860,1,11170.9,11170.9
pace2025_ds/heuristic/heuristic_027.gr,pace2025_ds,,pace2025_ds_heuristic,1,129556,,382116,382116,1311138,3.43126,3.43126,382116,2947,9.35997,9.35997
pace2025_ds/heuristic/heuristic_028.gr,pace2025_ds,,pace2025_ds_heuristic,1,177641,,541186,541186,1893254,3.49834,3.49834,541186,4196,9.6897,9.6897
pace2025_ds/heuristic/heuristic_029.gr,pace2025_ds,,pace2025_ds_heuristic,1,273640,,827833,827833,2914151,3.52022,3.52022,827833,6967,9.83349,9.83349
pace2025_ds/heuristic/heuristic_030.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196681,1196681,5993827,5.00871,5.00871,1196681,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_031.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196683,1196683,5993833,5.00871,5.00871,1196683,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_032.gr,pace2025_ds,,pace2025_ds_heuristic,1,86540,,261532,261532,924338,3.53432,3.53432,261532,2300,10.033,10.033
pace2025_ds/heuristic/heuristic_033.gr,pace2025_ds,,pace2025_ds_heuristic,1,45466,,400727,400727,5100465,12.728,12.728,400727,1,367.383,367.383
pace2025_ds/heuristic/heuristic_034.gr,pace2025_ds,,pace2025_ds_heuristic,1,174060,,512581,512581,1807999,3.52725,3.52725,512581,2688,10.0102,10.0102
pace2025_ds/heuristic/heuristic_035.gr,pace2025_ds,,pace2025_ds_heuristic,1,277073,,842444,842444,2925060,3.47211,3.47211,842444,4126,9.54176,9.54176
pace2025_ds/heuristic/heuristic_036.gr,pace2025_ds,,pace2025_ds_heuristic,1,2926,,2054824,2054824,14366134,6.99142,6.99142,2054824,1,11272.4,11272.4
pace2025_ds/heuristic/heuristic_037.gr,pace2025_ds,,pace2025_ds_heuristic,1,2927,,2067761,2067761,14456693,6.99147,6.99147,2067761,1,11364.6,11364.6
pace2025_ds/heuristic/heuristic_038.gr,pace2025_ds,,pace2025_ds_heuristic,1,223614,,686530,686530,2451926,3.57148,3.57148,686530,5796,10.2641,10.2641
pace2025_ds/heuristic/heuristic_039.gr,pace2025_ds,,pace2025_ds_heuristic,1,140059,,435834,435834,1592816,3.65464,3.65464,435834,1771,10.7433,10.7433
pace2025_ds/heuristic/heuristic_040.gr,pace2025_ds,,pace2025_ds_heuristic,1,165978,,513641,513641,1823685,3.55051,3.55051,513641,6074,10.0113,10.0113
pace2025_ds/heuristic/heuristic_041.gr,pace2025_ds,,pace2025_ds_heuristic,1,1001,,1016501,1016501,5083503,5.00098,5.00098,1016501,1,2044.32,2044.32
pace2025_ds/heuristic/heuristic_042.gr,pace2025_ds,,pace2025_ds_heuristic,1,2910,,4119852,4119852,28821492,6.99576,6.99576,4119852,1,22656.1,22656.1
pace2025_ds/heuristic/heuristic_043.gr,pace2025_ds,,pace2025_ds_heuristic,1,1043,,1094764,1094764,5485764,5.01091,5.01091,1094764,1,2123.71,2123.71
pace2025_ds/heuristic/heuristic_044.gr,pace2025_ds,,pace2025_ds_heuristic,1,2937,,4298062,4298062,30068800,6.9959,6.9959,4298062,1,23381.6,23381.6
pace2025_ds/heuristic/heuristic_045.gr,pace2025_ds,,pace2025_ds_heuristic,1,42262,,403394,403394,5290210,13.1143,13.1143,403394,7,382.239,382.239
pace2025_ds/heuristic/heuristic_046.gr,pace2025_ds,,pace2025_ds_heuristic,1,149889,,474466,474466,1704778,3.59305,3.59305,474466,1926,10.2252,10.2252
pace2025_ds/heuristic/heuristic_047.gr,pace2025_ds,,pace2025_ds_heuristic,1,116498,,364257,364257,1316081,3.61306,3.61306,364257,2451,10.4905,10.4905
pace2025_ds/heuristic/heuristic_048.gr,pace2025_ds,,pace2025_ds_heuristic,1,124863,,381951,381951,1368979,3.58417,3.58417,381951,1886,10.3132,10.3132
pace2025_ds/heuristic/heuristic_049.gr,pace2025_ds,,pace2025_ds_heuristic,1,2936,,4134228,4134228,28921962,6.99573,6.99573,4134228,1,22563.9,22563.9
pace2025_ds/heuristic/heuristic_050.gr,pace2025_ds,,pace2025_ds_heuristic,1,100374,,295560,295560,1027842,3.47761,3.47761,295560,1540,9.67864,9.67864
pace2025_ds/heuristic/heuristic_051.gr,pace2025_ds,,pace2025_ds_heuristic,1,119248,,359699,359699,1247795,3.469,3.469,359699,1823,9.56393,9.56393
pace2025_ds/heuristic/heuristic_052.gr,pace2025_ds,,pace2025_ds_heuristic,1,134404,,416931,416931,1470047,3.52588,3.52588,416931,1258,9.80628,9.80628
pace2025_ds/heuristic/heuristic_053.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196697,1196697,5993875,5.00868,5.00868,1196697,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_054.gr,pace2025_ds,,pace2025_ds_heuristic,1,106599,,330392,330392,1172420,3.54857,3.54857,330392,1905,9.95864,9.95864
pace2025_ds/heuristic/heuristic_055.gr,pace2025_ds,,pace2025_ds_heuristic,1,268092,,748552,748552,2517578,3.36326,3.36326,748552,4932,9.07888,9.07888
pace2025_ds/heuristic/heuristic_056.gr,pace2025_ds,,pace2025_ds_heuristic,1,1063,,1151375,1151375,5762029,5.00448,5.00448,1151375,1,2183.83,2183.83
pace2025_ds/heuristic/heuristic_057.gr,pace2025_ds,,pace2025_ds_heuristic,1,1003,,1120474,1120474,5670328,5.06065,5.06065,1120474,1,2339.59,2339.59
pace2025_ds/heuristic/heuristic_058.gr,pace2025_ds,,pace2025_ds_heuristic,1,1022,,1051230,1051230,5267668,5.01096,5.01096,1051230,1,2081.45,2081.45
pace2025_ds/heuristic/heuristic_059.gr,pace2025_ds,,pace2025_ds_heuristic,1,2829,,3905397,3905397,27320793,6.99565,6.99565,3905397,1,22084,22084
pace2025_ds/heuristic/heuristic_060.gr,pace2025_ds,,pace2025_ds_heuristic,1,2818,,1899347,1899347,13278443,6.99106,6.99106,1899347,1,10791.6,10791.6
pace2025_ds/heuristic/heuristic_061.gr,pace2025_ds,,pace2025_ds_heuristic,1,356308,,1126552,1126552,4075608,3.61777,3.61777,1126552,6900,10.3822,10.3822
pace2025_ds/heuristic/heuristic_062.gr,pace2025_ds,,pace2025_ds_heuristic,1,1001,,1016001,1016001,5081003,5.00098,5.00098,1016001,1,2043.32,2043.32
pace2025_ds/heuristic/heuristic_063.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196699,1196699,5993881,5.00868,5.00868,1196699,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_064.gr,pace2025_ds,,pace2025_ds_heuristic,1,574934,,1684218,1684218,5798462,3.44282,3.44282,1684218,13202,9.43208,9.43208
pace2025_ds/heuristic/heuristic_065.gr,pace2025_ds,,pace2025_ds_heuristic,1,2908,,3518541,3518541,24612315,6.99503,6.99503,3518541,1,19477.6,19477.6
pace2025_ds/heuristic/heuristic_066.gr,pace2025_ds,,pace2025_ds_heuristic,1,1042,,1053686,1053686,5270138,5.00162,5.00162,1053686,1,2071.68,2071.68
pace2025_ds/heuristic/heuristic_067.gr,pace2025_ds,,pace2025_ds_heuristic,1,2935,,3536095,3536095,24735031,6.99501,6.99501,3536095,1,19425,19425
pace2025_ds/heuristic/heuristic_068.gr,pace2025_ds,,pace2025_ds_heuristic,1,86173,,261201,261201,902787,3.45629,3.45629,261201,588,9.40745,9.40745
pace2025_ds/heuristic/heuristic_069.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196691,1196691,5993857,5.00869,5.00869,1196691,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_070.gr,pace2025_ds,,pace2025_ds_heuristic,1,396046,,1209613,1209613,4376545,3.61814,3.61814,1209613,8349,10.578,10.578
pace2025_ds/heuristic/heuristic_071.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196695,1196695,5993869,5.00869,5.00869,1196695,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_072.gr,pace2025_ds,,pace2025_ds_heuristic,1,44463,,1423602,1423602,9477378,6.65732,6.65732,1423602,1,1309.99,1309.99
pace2025_ds/heuristic/heuristic_073.gr,pace2025_ds,,pace2025_ds_heuristic,1,144515,,431252,431252,1496442,3.46999,3.46999,431252,1477,9.58914,9.58914
pace2025_ds/heuristic/heuristic_074.gr,pace2025_ds,,pace2025_ds_heuristic,1,327034,,1088092,1088092,4171888,3.83413,3.83413,1088092,206,11.9006,11.9006
pace2025_ds/heuristic/heuristic_075.gr,pace2025_ds,,pace2025_ds_heuristic,1,176435,,550621,550621,1993319,3.62013,3.62013,550621,2756,10.506,10.506
pace2025_ds/heuristic/heuristic_076.gr,pace2025_ds,,pace2025_ds_heuristic,1,13197,,281903,281903,4267175,15.137,15.137,281903,365,28010,28010
pace2025_ds/heuristic/heuristic_077.gr,pace2025_ds,,pace2025_ds_heuristic,1,422494,,1379917,1379917,5223237,3.78518,3.78518,1379917,424,11.5534,11.5534
pace2025_ds/heuristic/heuristic_078.gr,pace2025_ds,,pace2025_ds_heuristic,1,2829,,4008251,4008251,28040771,6.99576,6.99576,4008251,1,22631.5,22631.5
pace2025_ds/heuristic/heuristic_079.gr,pace2025_ds,,pace2025_ds_heuristic,1,117238,,356376,356376,1246576,3.49792,3.49792,356376,2896,9.69042,9.69042
pace2025_ds/heuristic/heuristic_080.gr,pace2025_ds,,pace2025_ds_heuristic,1,1039,,1086400,1086400,5443840,5.0109,5.0109,1086400,1,2115.63,2115.63
pace2025_ds/heuristic/heuristic_081.gr,pace2025_ds,,pace2025_ds_heuristic,1,183926,,568325,568325,2015877,3.54705,3.54705,568325,2111,9.93582,9.93582
pace2025_ds/heuristic/heuristic_082.gr,pace2025_ds,,pace2025_ds_heuristic,1,337735,,985129,985129,3342291,3.39274,3.39274,985129,5237,9.11717,9.11717
pace2025_ds/heuristic/heuristic_083.gr,pace2025_ds,,pace2025_ds_heuristic,1,1063,,1151375,1151375,5762029,5.00448,5.00448,1151375,1,2183.83,2183.83
pace2025_ds/heuristic/heuristic_084.gr,pace2025_ds,,pace2025_ds_heuristic,1,227451,,705635,705635,2485679,3.52261,3.52261,705635,3125,9.79374,9.79374
pace2025_ds/heuristic/heuristic_085.gr,pace2025_ds,,pace2025_ds_heuristic,1,97817,,300223,300223,1057981,3.52398,3.52398,300223,1093,9.86767,9.86767
pace2025_ds/heuristic/heuristic_086.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196679,1196679,5993821,5.00871,5.00871,1196679,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_087.gr,pace2025_ds,,pace2025_ds_heuristic,1,75806,,232411,232411,830151,3.57191,3.57191,232411,1319,10.2038,10.2038
pace2025_ds/heuristic/heuristic_088.gr,pace2025_ds,,pace2025_ds_heuristic,1,193055,,549790,549790,1882232,3.42355,3.42355,549790,2815,9.41329,9.41329
pace2025_ds/heuristic/heuristic_089.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196687,1196687,5993845,5.0087,5.0087,1196687,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_090.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196685,1196685,5993839,5.0087,5.0087,1196685,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_091.gr,pace2025_ds,,pace2025_ds_heuristic,1,339489,,999463,999463,3392041,3.39386,3.39386,999463,5053,9.14446,9.14446
pace2025_ds/heuristic/heuristic_092.gr,pace2025_ds,,pace2025_ds_heuristic,1,212280,,670910,670910,2397084,3.57288,3.57288,670910,2008,10.1492,10.1492
pace2025_ds/heuristic/heuristic_093.gr,pace2025_ds,,pace2025_ds_heuristic,1,213122,,1134890,1134890,7110138,6.26505,6.26505,1134890,1,2608.99,2608.99
pace2025_ds/heuristic/heuristic_094.gr,pace2025_ds,,pace2025_ds_heuristic,1,338720,,1039226,1039226,3744110,3.60279,3.60279,1039226,6777,10.4452,10.4452
pace2025_ds/heuristic/heuristic_095.gr,pace2025_ds,,pace2025_ds_heuristic,1,312366,,950073,950073,3319831,3.49429,3.49429,950073,3111,9.67697,9.67697
pace2025_ds/heuristic/heuristic_096.gr,pace2025_ds,,pace2025_ds_heuristic,1,96182,,311336,311336,1133978,3.6423,3.6423,311336,1237,10.4397,10.4397
pace2025_ds/heuristic/heuristic_097.gr,pace2025_ds,,pace2025_ds_heuristic,1,2934,,4163104,4163104,29124112,6.99577,6.99577,4163104,1,22716.9,22716.9
pace2025_ds/heuristic/heuristic_098.gr,pace2025_ds,,pace2025_ds_heuristic,1,349259,,1009205,1009205,3434835,3.40351,3.40351,1009205,10039,9.22013,9.22013
pace2025_ds/heuristic/heuristic_099.gr,pace2025_ds,,pace2025_ds_heuristic,1,209328,,621749,621749,2152135,3.46142,3.46142,621749,5894,9.51635,9.51635
pace2025_ds/heuristic/heuristic_100.gr,pace2025_ds,,pace2025_ds_heuristic,1,144712,,424210,424210,1453480,3.42632,3.42632,424210,3266,9.34754,9.34754
